target_model,predictor,unique_r2,relative_r2
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_4,0.0072623638295479,0.0155896250945164
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_6,0.0054234132984484,0.0116420744044007
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_8,0.005347497698667,0.0114791115224529
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_1,0.0039783505586418,0.0085400559872042
EleutherAI_pythia-6.9b-deduped — TF-IDF,C(tense),0.0026311513221793,0.0056481145316388
EleutherAI_pythia-6.9b-deduped — TF-IDF,C(syntactic_role),0.0011487498212807,0.0024659435221761
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_7,0.0010820475406646,0.0023227582491492
EleutherAI_pythia-6.9b-deduped — TF-IDF,"C(valence, Treatment(reference='-val'))",0.0008780446355209,0.0018848390145823
EleutherAI_pythia-6.9b-deduped — TF-IDF,C(semantic_role),8.29263909450928e-05,0.0001780124730208
EleutherAI_pythia-6.9b-deduped — TF-IDF,"C(dominance, Treatment(reference='-dom'))",5.706123244497707e-05,0.0001224894871872
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_4,0.1995892041358542,0.3410147714534404
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_6,0.1505736689265741,0.2572676489102625
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_1,0.0640970252657683,0.109515103867909
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_2,0.0498030440223855,0.0850926469120005
Qwen_Qwen3-4B-Base — log(1 + x) counts,log_frequency,0.0467895870599225,0.079943904815511
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_10,0.0215582358993012,0.0368340407987975
Qwen_Qwen3-4B-Base — log(1 + x) counts,C(syntactic_role),0.0129585927854181,0.0221408346018035
Qwen_Qwen3-4B-Base — log(1 + x) counts,lex_emb_norm,0.0107467520990435,0.0183617206491168
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_5,0.0093638743708183,0.0159989589231981
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_9,0.0050302290082896,0.0085945650369583
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_3,0.0048943842644023,0.0083624629826892
Qwen_Qwen3-4B-Base — log(1 + x) counts,C(tense),0.0034350113818987,0.0058690029173162
Qwen_Qwen3-4B-Base — log(1 + x) counts,C(semantic_role),0.0020073104622911,0.0034296570373034
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_8,0.0017353090944326,0.0029649200556771
Qwen_Qwen3-4B-Base — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.001579550998505,0.002698794381622
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_7,0.001040361925428,0.0017775449617365
Qwen_Qwen3-4B-Base — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",7.808908024020678e-05,0.0001334216946573
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_4,0.0819818349773129,0.220317562281323
Qwen_Qwen3-4B-Base — PPMI,log_frequency,0.0443919559985622,0.1192987145653611
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_5,0.0441658841973142,0.1186911703677313
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_3,0.0401423464922304,0.1078783358028992
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_9,0.0377441462372246,0.1014334247541096
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_7,0.0344885052192118,0.0926842318024008
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_10,0.0219177121117153,0.0589015469655351
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_6,0.018525918839661,0.0497864591455566
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_1,0.0183899346479202,0.0494210159270508
Qwen_Qwen3-4B-Base — PPMI,C(syntactic_role),0.012958592785418,0.0348248556996767
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_2,0.0044705312705713,0.0120140827770844
Qwen_Qwen3-4B-Base — PPMI,lex_emb_norm,0.0037950962896082,0.010198922278097
Qwen_Qwen3-4B-Base — PPMI,C(tense),0.0034350113818988,0.0092312319464181
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_8,0.0020351592159743,0.0054692764249776
Qwen_Qwen3-4B-Base — PPMI,C(semantic_role),0.002007310462291,0.005394435827353
Qwen_Qwen3-4B-Base — PPMI,"C(valence, Treatment(reference='-val'))",0.0015795509985048,0.0042448772412317
Qwen_Qwen3-4B-Base — PPMI,"C(dominance, Treatment(reference='-dom'))",7.80890802403178e-05,0.0002098561931932
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_9,0.2200604210723046,0.4180532099476103
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_2,0.2043514069304519,0.3882104796869236
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_8,0.0425200570197253,0.0807762079052422
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_4,0.0222907460352554,0.0423461787756177
Qwen_Qwen3-4B-Base — Raw counts,C(syntactic_role),0.0129585927854178,0.0246176994661294
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_6,0.007948668683553,0.015100245840562
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_5,0.0052063958733306,0.0098906950032087
Qwen_Qwen3-4B-Base — Raw counts,C(tense),0.0034350113818986,0.0065255602411915
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_1,0.0032167070319815,0.0061108430749529
Qwen_Qwen3-4B-Base — Raw counts,C(semantic_role),0.002007310462291,0.0038133280761399
Qwen_Qwen3-4B-Base — Raw counts,"C(valence, Treatment(reference='-val'))",0.0015795509985048,0.0030007048154466
