target_model,model,predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
google_gemma-3-12b-pt,World-Knowledge Model,"male_perc:C(dominance, Treatment(reference='-dom'))",0.1271576701603216,0.0102377699758152,0.2357134714558678,500,0,0.5394586460202766
google_gemma-3-12b-pt,World-Knowledge Model,"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0001904190657017,7.945106704513595e-06,0.0003529817662698,500,0,0.5394586460202766
google_gemma-3-12b-pt,World-Knowledge Model,"C(semantic_role):C(valence, Treatment(reference='-val'))",0.0001590315042571,7.791288135631362e-06,0.0002947983231529,500,0,0.5394586460202766
google_gemma-3-12b-pt,World-Knowledge Model,"C(valence, Treatment(reference='-val'))",0.0001281435649237,7.886736911972372e-06,0.0002375410346448,500,0,0.5394586460202766
google_gemma-3-12b-pt,World-Knowledge Model,"C(semantic_role):C(dominance, Treatment(reference='-dom'))",3.290988174667397e-05,3.982232468996982e-07,6.100538380366785e-05,500,0,0.5394586460202766
google_gemma-3-12b-pt,World-Knowledge Model,"C(dominance, Treatment(reference='-dom'))",4.929448349940913e-06,2.9551127003392386e-07,9.13776873594798e-06,500,0,0.5394586460202766
google_gemma-3-12b-pt,Human-Perception Model,male_perc,0.271446031048652,0.0120547662409216,0.4962859298568031,500,0,0.5469549199731982
google_gemma-3-12b-pt,Human-Perception Model,male_perc:C(tense),0.2680291252652446,0.0120547662409215,0.4900387865207949,500,0,0.5469549199731982
google_gemma-3-12b-pt,Human-Perception Model,C(tense):C(syntactic_role),0.0021833461333559,0.0001167008706566,0.0039918209958929,500,0,0.5469549199731982
google_gemma-3-12b-pt,Human-Perception Model,"C(tense):C(dominance, Treatment(reference='-dom'))",0.0014987684510565,8.833073932539416e-05,0.0027402047158292,500,0,0.5469549199731982
google_gemma-3-12b-pt,Human-Perception Model,C(tense),0.0014524366430096,8.939181371722618e-05,0.0026554960746689,500,0,0.5469549199731982
google_gemma-3-12b-pt,Human-Perception Model,"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.0008142486646752,4.971201817952573e-05,0.0014886942871181,500,0,0.5469549199731982
google_gemma-3-12b-pt,Human-Perception Model,"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.0007523561552154,4.503143888506112e-05,0.0013755359495665,500,0,0.5469549199731982
google_gemma-3-12b-pt,Human-Perception Model,C(syntactic_role),0.0006030583351876,4.602306486591952e-05,0.0011025741119893,500,0,0.5469549199731982
google_gemma-3-12b-pt,Human-Perception Model,"C(valence, Treatment(reference='-val'))",0.0001755492768031,8.278515630479091e-06,0.0003209574873404,500,0,0.5469549199731982
google_gemma-3-4b-pt,World-Knowledge Model,"male_perc:C(dominance, Treatment(reference='-dom'))",0.1534612903478519,0.0111169453564061,0.274547047441232,500,0,0.5589617217817687
google_gemma-3-4b-pt,World-Knowledge Model,"male_perc:C(valence, Treatment(reference='-val'))",0.1446003743828281,0.0109084785171109,0.2586945916831195,500,0,0.5589617217817687
google_gemma-3-4b-pt,World-Knowledge Model,male_perc:C(semantic_role),0.1359956491135604,0.0106811363171157,0.243300469091256,500,0,0.5589617217817687
google_gemma-3-4b-pt,World-Knowledge Model,male_perc,0.1222178390021835,0.0103019701834203,0.218651535945247,500,0,0.5589617217817687
google_gemma-3-4b-pt,World-Knowledge Model,"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0015331959307618,3.392603739571087e-05,0.0027429354659109,500,0,0.5589617217817687
google_gemma-3-4b-pt,World-Knowledge Model,"C(semantic_role):C(valence, Treatment(reference='-val'))",0.0009774456223434,3.36422916283801e-05,0.0017486807848446,500,0,0.5589617217817687
google_gemma-3-4b-pt,World-Knowledge Model,"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.0001326464787159,5.287381225828698e-06,0.0002373086985153,500,0,0.5589617217817687
google_gemma-3-4b-pt,World-Knowledge Model,"C(dominance, Treatment(reference='-dom'))",4.3280903522863846e-05,3.076404137347076e-06,7.743088987363913e-05,500,0,0.5589617217817687
google_gemma-3-4b-pt,Human-Perception Model,male_perc,0.1899931860852126,0.0117974364522907,0.3251363351457639,500,0,0.584349288430146
google_gemma-3-4b-pt,Human-Perception Model,male_perc:C(tense),0.1840778409667983,0.0116938095944502,0.3150133740409326,500,0,0.584349288430146
google_gemma-3-4b-pt,Human-Perception Model,male_perc:C(syntactic_role),0.1832280114477527,0.0116757074653542,0.3135590563308371,500,0,0.584349288430146
google_gemma-3-4b-pt,Human-Perception Model,C(tense):C(syntactic_role),0.010576084279244,0.0004565115326865,0.0180989084587691,500,0,0.584349288430146
google_gemma-3-4b-pt,Human-Perception Model,C(syntactic_role),0.009418744789043,0.0004067254944744,0.0161183473233047,500,0,0.584349288430146
